"가뭄","누적강수량","가조시간","평균기온","저수량","댐","총저수량"
"정상",995,9.8,3.6,52.28,"밀양",73.6
"보통습윤",1103.1,9.7,3.1,1501.98,"충주",2750
"보통습윤",1213.4,9.6,-0.4,1713.62,"소양강",2900
"정상",1041.8,9.7,0.8,926.92,"대청",1490
"보통습윤",1105,9.7,-0.4,1496.34,"충주",2750
"정상",901.9,9.8,3.2,25.91,"군위",48.7
"심한습윤",933.2,10.3,0.1,33.45,"부안",50.3
"정상",678.1,10.3,-1,58.94,"보령",116.9
"정상",687.5,10.4,0.3,102.8,"장흥",191
"심한습윤",1198.4,10.3,-2.2,479.84,"용담",815
"정상",567.7,10.3,-1.8,938.65,"안동",1248
"정상",567.7,10.3,-1.8,215.13,"임하",595
"심한습윤",997.2,10.2,-3.5,52.4,"횡성",86.9
"정상",727.9,10.3,-3,85.4,"영주",181.1
"정상",667.7,10.3,0.1,29.59,"김천부항",54.3
"심한습윤",1020.5,10.3,-1.7,275.78,"섬진강",466
"정상",771.5,10.4,1.1,480.54,"합천",790
"정상",998.8,10.4,3.7,6.11,"구천",10.02
"정상",998.8,10.4,3.7,3.44,"연초",5.22
"정상",524.6,10.3,3.1,10.76,"대곡",36.16
"정상",524.6,10.3,3.1,4.73,"대암",13.14
"정상",524.6,10.3,3.1,7.51,"사연",30.34
"정상",524.6,10.3,3.1,1.38,"선암",2.02
"심한습윤",1173.1,10.4,0.7,6.41,"평림",10.26
"정상",721.9,10.3,-1.8,884.1,"대청",1490
"정상",585,10.4,2,48.15,"밀양",73.6
"정상",546.2,10.3,0.3,9.99,"보현산",22.11
"정상",546.2,10.3,0.3,47.84,"영천",103.21
"심한습윤",1063.2,10.2,-3.6,1592.09,"소양강",2900
"심한습윤",1062.5,10.2,-8.2,1587.92,"소양강",2900
"심한습윤",1125.3,10.4,-3.2,6.39,"평림",10.26
"정상",575.7,10.4,-4.4,24.01,"군위",48.7
"정상",491.1,10.4,-3.5,10.68,"대곡",36.16
"정상",491.1,10.4,-3.5,4.68,"대암",13.14
"정상",491.1,10.4,-3.5,7.44,"사연",30.34
"정상",491.1,10.4,-3.5,1.37,"선암",2.02
"보통습윤",931.6,10.4,-4.3,33.42,"부안",50.3
"심한습윤",1006,10.4,-6.2,275.78,"섬진강",466
"정상",677.7,10.3,-4.9,58.73,"보령",116.9
"정상",647.9,10.3,-4.5,29.46,"김천부항",54.3
"정상",672.3,10.4,-2.8,102.65,"장흥",191
"정상",964.4,10.4,-1.2,6.08,"구천",10.02
"정상",964.4,10.4,-1.2,3.44,"연초",5.22
"정상",721.5,10.3,-6.6,882.46,"대청",1490
"정상",571.2,10.4,-3.2,48,"밀양",73.6
"보통습윤",994,10.2,-8.7,52.22,"횡성",86.9
"정상",535.2,10.4,-5.1,9.96,"보현산",22.11
"정상",535.2,10.4,-5.1,47.57,"영천",103.21
"보통습윤",850.2,10.3,-8,1318.79,"충주",2750
"정상",747.6,10.4,-2.9,479.41,"합천",790
"정상",550,10.3,-6.6,937.27,"안동",1248
"정상",550,10.3,-6.6,214.2,"임하",595
"정상",707,10.4,-2.3,160.61,"남강",309.2
"심한습윤",1153.9,10.4,-7.7,478.81,"용담",815
"정상",715.9,10.3,-7.6,85.2,"영주",181.1
"정상",533.4,10.3,-2.8,935.89,"안동",1248
"정상",533.4,10.3,-2.8,213.14,"임하",595
"정상",679.8,10.3,0.1,880.82,"대청",1490
"정상",683.3,10.4,-0.3,160.88,"남강",309.2
"심한습윤",958.4,10.3,-6.9,52,"횡성",86.9
"보통습윤",962.7,10.4,-1.6,275.78,"섬진강",466
"정상",663.9,10.5,0.6,102.57,"장흥",191
"정상",1236.7,11,6.8,1862.02,"충주",2750
"정상",1282,11,9,112.32,"영주",181.1
"정상",1150,11,10.2,985.74,"대청",1490
"정상",986.5,11,11,13.62,"보현산",22.11
"정상",986.5,11,11,67.54,"영천",103.21
"정상",1414.5,11.1,12.2,119.83,"장흥",191
"심한습윤",1432,11,11.1,38.56,"부안",50.3
"정상",1150,10.9,9.2,984,"대청",1490
"정상",1167.4,11,11.7,22.4,"대곡",36.16
"정상",1167.4,11,11.7,3.71,"대암",13.14
"정상",1167.4,11,11.7,12.57,"사연",30.34
"정상",1167.4,11,11.7,1.34,"선암",2.02
"정상",1291.8,10.9,5.5,66.14,"횡성",86.9
"정상",1092.8,11,10.2,79.73,"보령",116.9
"심한습윤",1259,11,10.6,40.47,"김천부항",54.3
"정상",1414.5,11,10.6,119.43,"장흥",191
"정상",986.5,11,10.7,13.58,"보현산",22.11
"정상",986.5,11,10.7,67.28,"영천",103.21
"심한습윤",1776.3,11,7.1,577.76,"용담",815
"정상",1299.5,10.9,6.1,1940.5,"소양강",2900
