"가뭄","누적강수량","가조시간","평균기온","저수량","댐","총저수량"
"정상",294.7,13,12.4,148.13,"남강",309.2
"정상",262.6,13,12.4,226.89,"섬진강",466
"정상",256.3,13,13.5,21.82,"김천부항",54.3
"정상",259,13,14,46.39,"장흥",191
"정상",428.1,13,13.3,8.19,"구천",10.02
"정상",428.1,13,13.3,4.01,"연초",5.22
"정상",220.8,13.1,12.4,1221.78,"충주",2750
"정상",233.7,13,13,261.05,"합천",790
"정상",255.6,13,14.8,3.72,"평림",10.26
"정상",279.8,13,13.5,18.74,"부안",50.3
"정상",278.1,13,12.7,6.97,"대곡",36.16
"정상",278.1,13,12.7,5.19,"대암",13.14
"정상",278.1,13,12.7,5.34,"사연",30.34
"정상",278.1,13,12.7,1.46,"선암",2.02
"정상",247.9,13,13.5,39.95,"보령",116.9
"정상",223.7,13,13.7,25.04,"밀양",73.6
"정상",209.6,13,11.9,4.85,"보현산",22.11
"정상",209.6,13,11.9,52.77,"영천",103.21
"정상",242.4,13.1,11.2,0.35,"영주",181.1
"정상",309.7,13,10.9,370.61,"용담",815
"정상",203.2,13.1,9.2,1418.59,"소양강",2900
"정상",237.5,13.1,8.8,1224.79,"충주",2750
"정상",327.2,13.1,8.6,371.91,"용담",815
"정상",234.6,13.1,10.6,4.87,"보현산",22.11
"정상",234.6,13.1,10.6,52.9,"영천",103.21
"정상",247.7,13,11,25.17,"밀양",73.6
"정상",269.9,13.1,8.2,0.37,"영주",181.1
"정상",309.8,13.1,8.6,18.95,"부안",50.3
"정상",302.1,13.1,11.2,6.97,"대곡",36.16
"정상",302.1,13.1,11.2,5.12,"대암",13.14
"정상",302.1,13.1,11.2,5.4,"사연",30.34
"정상",302.1,13.1,11.2,1.47,"선암",2.02
"정상",188.4,13.1,8.6,54.28,"횡성",86.9
"정상",329.5,13,10.2,148.39,"남강",309.2
"정상",222.2,13.1,10.5,16.88,"군위",48.7
"정상",289.2,13,11.3,46.84,"장흥",191
"정상",258.2,13,9.7,262.57,"합천",790
"정상",269.1,13.1,8.7,40.26,"보령",116.9
"정상",487.1,13,12.3,8.24,"구천",10.02
"정상",487.1,13,12.3,4.07,"연초",5.22
"정상",277.7,13,10.9,3.77,"평림",10.26
"정상",249.2,13.1,8.8,1061.71,"대청",1490
"보통습윤",267.1,13.1,10.1,21.86,"김천부항",54.3
"정상",279.1,13.1,9,227.83,"섬진강",466
"정상",230.1,13.1,9.1,505.09,"안동",1248
"정상",230.1,13.1,9.1,287.03,"임하",595
"정상",277.7,13.1,10.1,3.79,"평림",10.26
"정상",188.4,13.2,9.6,54.46,"횡성",86.9
"정상",329.5,13.1,13.1,154.71,"남강",309.2
"정상",327.2,13.1,7.5,372.99,"용담",815
"정상",309.8,13.1,8.5,19.13,"부안",50.3
"정상",269.1,13.1,7.5,40.54,"보령",116.9
"보통습윤",267.1,13.1,12.4,21.88,"김천부항",54.3
"정상",487.1,13.1,13.5,8.29,"구천",10.02
"정상",487.1,13.1,13.5,4.11,"연초",5.22
"정상",661.5,14.2,27.1,58.92,"장흥",191
"정상",596.3,14.3,30.1,11.48,"보현산",22.11
"정상",596.3,14.3,30.1,71.58,"영천",103.21
"정상",627.4,14.3,29.9,51.1,"밀양",73.6
"정상",715.5,14.3,29.5,376.76,"합천",790
"보통습윤",1511.6,14.2,28.4,9.24,"구천",10.02
"보통습윤",1511.6,14.2,28.4,4.37,"연초",5.22
"정상",875.3,14.3,27.9,121.89,"남강",309.2
"정상",779.5,14.4,27.4,0.33,"영주",181.1
"정상",625.6,14.3,30.7,31.48,"군위",48.7
"정상",612,14.4,27.4,1392.86,"충주",2750
"정상",719.9,14.3,26.3,489.43,"용담",815
"정상",669.8,14.4,29.2,912.52,"대청",1490
"정상",612,14.4,27.8,1392.2,"충주",2750
"정상",625.6,14.3,31,31.42,"군위",48.7
"정상",788.8,14.5,27.4,51.65,"횡성",86.9
"정상",731.3,14.3,27.5,31.09,"부안",50.3
"정상",693.2,14.3,26.9,74.35,"보령",116.9
"정상",719.9,14.3,26.9,489.17,"용담",815
"정상",779.5,14.4,27.7,0.32,"영주",181.1
"보통습윤",1511.6,14.2,29,9.21,"구천",10.02
"보통습윤",1511.6,14.2,29,4.35,"연초",5.22
"정상",733.6,14.5,28.1,1648.54,"소양강",2900
"정상",705.5,14.3,29,9.82,"대곡",36.16
"정상",705.5,14.3,29,5.02,"대암",13.14
"정상",705.5,14.3,29,9.3,"사연",30.34
"정상",705.5,14.3,29,1.39,"선암",2.02
"정상",658.6,14.2,29.5,6.18,"평림",10.26
"정상",627.4,14.3,30,50.89,"밀양",73.6
"정상",676.1,14.3,27.5,240.32,"섬진강",466
"정상",596.3,14.3,30.3,11.45,"보현산",22.11
"정상",596.3,14.3,30.3,71.14,"영천",103.21
"정상",715.5,14.3,29.5,376.28,"합천",790
"정상",875.3,14.2,28.1,119.98,"남강",309.2
"정상",661.5,14.2,27.9,58.64,"장흥",191
"심한습윤",807.3,14.3,29.8,29.39,"김천부항",54.3
"정상",561.2,14.4,29.9,696.07,"안동",1248
"정상",561.2,14.4,29.9,380.89,"임하",595
"정상",733.6,14.4,28.2,1648.07,"소양강",2900
"정상",561.2,14.3,30.2,696.45,"안동",1248
"정상",561.2,14.3,30.2,377.65,"임하",595
"정상",612,14.4,28.6,1389.55,"충주",2750
"정상",705.5,14.2,29.4,9.84,"대곡",36.16
"정상",705.5,14.2,29.4,4.81,"대암",13.14
"정상",705.5,14.2,29.4,9.12,"사연",30.34
"정상",705.5,14.2,29.4,1.4,"선암",2.02
"정상",875.3,14.2,28.6,117.85,"남강",309.2
"정상",731.3,14.3,28.1,31.02,"부안",50.3
"정상",676.1,14.2,28.5,237.1,"섬진강",466
"정상",693.2,14.3,27.2,74.13,"보령",116.9
"정상",719.9,14.3,27.3,489.17,"용담",815
"정상",661.5,14.2,27.8,58.41,"장흥",191
"정상",779.5,14.4,28,0.31,"영주",181.1
"정상",343.6,13.9,14.3,46.98,"보령",116.9
"보통습윤",328.4,13.9,11.2,591.02,"안동",1248
"보통습윤",328.4,13.9,11.2,343.27,"임하",595
"정상",324.4,13.9,16.1,1045.41,"대청",1490
"보통습윤",778.4,13.8,14.1,9.37,"구천",10.02
"보통습윤",778.4,13.8,14.1,4.47,"연초",5.22
"정상",334.7,13.9,14.1,29.82,"밀양",73.6
"정상",409.8,13.9,14.3,21.45,"부안",50.3
"정상",296.6,14.1,15.8,1564.49,"소양강",2900
"정상",324.4,14,16.5,1042.41,"대청",1490
"정상",301.7,14,14.5,54.87,"횡성",86.9
"정상",425.7,13.9,15.8,151.01,"남강",309.2
"정상",343.6,14,12.9,46.89,"보령",116.9
"정상",449.9,13.9,14.8,400.41,"용담",815
"보통습윤",420.4,14,15.7,0.39,"영주",181.1
"정상",334.7,13.9,16.6,29.95,"밀양",73.6
"정상",316.7,14,15.1,1171.42,"충주",2750
"정상",306.7,13.9,17.6,17.53,"군위",48.7
"정상",409.8,13.9,13.7,21.45,"부안",50.3
"정상",369.2,13.9,17,4.48,"평림",10.26
"정상",404,13.9,14.3,6.59,"대곡",36.16
"정상",404,13.9,14.3,5.32,"대암",13.14
"정상",404,13.9,14.3,6.63,"사연",30.34
"정상",404,13.9,14.3,1.51,"선암",2.02
"보통습윤",316.9,13.9,16.4,5.11,"보현산",22.11
"보통습윤",316.9,13.9,16.4,56.33,"영천",103.21
"보통습윤",778.4,13.9,16.4,9.36,"구천",10.02
"보통습윤",778.4,13.9,16.4,4.45,"연초",5.22
"정상",386,13.8,15.9,54.95,"장흥",191
"정상",383.4,13.9,15.5,248.14,"섬진강",466
"보통습윤",377.7,13.9,17.4,300.95,"합천",790
"보통습윤",328.4,14,15.8,590.68,"안동",1248
"보통습윤",328.4,14,15.8,344.21,"임하",595
"심한습윤",354.3,13.9,16.9,24.54,"김천부항",54.3
"정상",291.3,14.1,16.4,1566.71,"소양강",2900
"정상",313.8,14,16.4,1144.34,"충주",2750
"정상",404,13.9,18.1,6.53,"대곡",36.16
"정상",404,13.9,18.1,5.13,"대암",13.14
"정상",404,13.9,18.1,6.63,"사연",30.34
"정상",404,13.9,18.1,1.49,"선암",2.02
"정상",406.8,13.9,16.3,21.47,"부안",50.3
"정상",381.9,13.9,15.3,246.6,"섬진강",466
"정상",340.9,14,14.4,46.72,"보령",116.9
"정상",448.9,13.9,14.6,400.86,"용담",815
"정상",386,13.9,15.6,55.01,"장흥",191
"보통습윤",778.4,13.9,17.4,9.36,"구천",10.02
"보통습윤",778.4,13.9,17.4,4.45,"연초",5.22
"정상",316.9,14,18.7,5.12,"보현산",22.11
"정상",316.9,14,18.7,56.23,"영천",103.21
"정상",296.7,14.1,15.7,54.68,"횡성",86.9
"보통습윤",353.9,14,18.6,24.58,"김천부항",54.3
"보통습윤",377.7,13.9,17.6,301.64,"합천",790
"보통습윤",417.9,14,17.2,0.37,"영주",181.1
"보통습윤",328.4,14,18.1,590.35,"안동",1248
"보통습윤",328.4,14,18.1,344.59,"임하",595
"정상",368.8,13.9,17.8,4.48,"평림",10.26
"정상",306.7,13.9,19.7,17.54,"군위",48.7
"정상",321.4,14,17.1,1038.21,"대청",1490
"정상",420.2,14.4,22,53,"장흥",191
"정상",477.5,14.5,22.7,122.61,"남강",309.2
"심한습윤",425.3,14.6,21.4,23.49,"김천부항",54.3
"보통습윤",385.6,14.6,20.4,571.97,"안동",1248
"보통습윤",385.6,14.6,20.4,322.34,"임하",595
"정상",438.7,14.5,22,21.16,"부안",50.3
"심한습윤",441.9,14.7,22.1,1614.98,"소양강",2900
"심한습윤",441.9,14.8,20.2,1598.62,"소양강",2900
"보통습윤",385.6,14.6,18.5,569.48,"안동",1248
"보통습윤",385.6,14.6,18.5,320.17,"임하",595
"정상",373.2,14.6,21.5,927.57,"대청",1490
"보통습윤",369.2,14.5,18.7,17.05,"군위",48.7
"정상",496.4,14.5,19.6,398.36,"용담",815
"정상",438.7,14.5,21.9,21.08,"부안",50.3
"정상",412.2,14.5,21.4,185.38,"섬진강",466
"정상",409.9,14.6,21.1,50.57,"보령",116.9
"심한습윤",425.3,14.6,19.7,23.4,"김천부항",54.3
"정상",422.1,14.4,20.4,52.73,"장흥",191
"정상",365.6,14.6,18.6,4.93,"보현산",22.11
"정상",365.6,14.6,18.6,48.94,"영천",103.21
"정상",388.2,14.5,20,30.6,"밀양",73.6
"보통습윤",964.2,14.5,19.8,9.15,"구천",10.02
"보통습윤",964.2,14.5,19.8,4.38,"연초",5.22
"심한습윤",502,14.7,20.8,64.47,"횡성",86.9
"보통습윤",437.5,14.7,21,944.54,"충주",2750
"정상",478.9,14.5,19.6,119.98,"남강",309.2
"정상",417.4,14.5,22,4.33,"평림",10.26
"정상",467.2,14.5,18.1,4.22,"대곡",36.16
"정상",467.2,14.5,18.1,5.11,"대암",13.14
"정상",467.2,14.5,18.1,6.12,"사연",30.34
"정상",467.2,14.5,18.1,1.48,"선암",2.02
"정상",417.7,14.5,20.1,302.47,"합천",790
"보통습윤",492.9,14.6,18.4,0.28,"영주",181.1
"정상",421.8,14.5,20.6,4.31,"평림",10.26
"정상",490.7,14.5,15.9,4.16,"대곡",36.16
"정상",490.7,14.5,15.9,5.18,"대암",13.14
"정상",490.7,14.5,15.9,6.11,"사연",30.34
"정상",490.7,14.5,15.9,1.5,"선암",2.02
"정상",436.7,14.5,21.5,21,"부안",50.3
"심한습윤",1014.8,14.5,18,9.3,"구천",10.02
"심한습윤",1014.8,14.5,18,4.43,"연초",5.22
"정상",440.1,14.5,17.8,302.05,"합천",790
"정상",510,14.5,17.7,118.32,"남강",309.2
"심한습윤",434.6,14.8,19.9,1582.38,"소양강",2900
"보통습윤",491.9,14.7,16.9,0.28,"영주",181.1
"보통습윤",382.6,14.6,17,4.93,"보현산",22.11
"보통습윤",382.6,14.6,17,48.63,"영천",103.21
"심한습윤",432.2,14.6,17.8,23.34,"김천부항",54.3
"보통습윤",387.9,14.6,17.2,567.33,"안동",1248
"보통습윤",387.9,14.6,17.2,318.19,"임하",595
"정상",505.9,14.5,16.8,397.67,"용담",815
"정상",419.2,14.5,18.1,182.79,"섬진강",466
"정상",203.2,13.2,9.9,1423.14,"소양강",2900
"정상",269.9,13.1,10,0.43,"영주",181.1
"정상",247.7,13.1,13.7,25.5,"밀양",73.6
"정상",302.1,13.1,12.8,6.96,"대곡",36.16
"정상",302.1,13.1,12.8,5.24,"대암",13.14
"정상",302.1,13.1,12.8,5.49,"사연",30.34
"정상",302.1,13.1,12.8,1.46,"선암",2.02
"정상",237.5,13.1,9.4,1227.82,"충주",2750
"정상",249.2,13.1,10,1064.75,"대청",1490
"정상",230.1,13.1,11.2,511.98,"안동",1248
"정상",230.1,13.1,11.2,288.89,"임하",595
"정상",279.1,13.1,8.2,229.17,"섬진강",466
"정상",222.2,13.1,12.8,17,"군위",48.7
"정상",289.2,13.1,10.3,47.24,"장흥",191
"정상",234.6,13.1,12.7,4.9,"보현산",22.11
"정상",234.6,13.1,12.7,53.46,"영천",103.21
"정상",258.2,13.1,13,263.96,"합천",790
"정상",203.2,13.2,10.7,1426.87,"소양강",2900
"정상",230.1,13.2,11.2,517.47,"안동",1248
"정상",230.1,13.2,11.2,289.74,"임하",595
"정상",249.2,13.2,11.9,1067.79,"대청",1490
"정상",222,13.1,12.2,17.08,"군위",48.7
"정상",274.6,13.1,11.6,3.8,"평림",10.26
"정상",299.7,13.1,11.9,6.93,"대곡",36.16
"정상",299.7,13.1,11.9,5.26,"대암",13.14
"정상",299.7,13.1,11.9,5.51,"사연",30.34
"정상",299.7,13.1,11.9,1.45,"선암",2.02
"정상",309.8,13.1,9.3,19.21,"부안",50.3
"정상",278.9,13.1,9.2,230.35,"섬진강",466
"정상",269.1,13.1,9.1,40.74,"보령",116.9
"정상",288.9,13.1,10.5,47.55,"장흥",191
"정상",234.4,13.1,11.2,4.92,"보현산",22.11
"정상",234.4,13.1,11.2,53.83,"영천",103.21
"정상",245,13.1,12.6,25.72,"밀양",73.6
"정상",258,13.1,12.1,264.98,"합천",790
"정상",266.1,13.1,12.9,21.93,"김천부항",54.3
"정상",188.4,13.2,10.6,54.55,"횡성",86.9
"정상",269.9,13.2,10.8,0.44,"영주",181.1
"정상",327,13.1,9.6,373.65,"용담",815
"정상",237.5,13.2,10.5,1231.45,"충주",2750
"정상",484.6,13.1,13,8.31,"구천",10.02
"정상",484.6,13.1,13,4.11,"연초",5.22
"정상",326.7,13.1,11.5,154.98,"남강",309.2
"정상",203.2,13.2,12.4,1429.36,"소양강",2900
"정상",230.1,13.2,13.6,521.83,"안동",1248
"정상",230.1,13.2,13.6,289.57,"임하",595
"정상",249.2,13.2,13.7,1070.23,"대청",1490
"정상",237.5,13.2,12.4,1235.09,"충주",2750
"정상",222,13.2,14.6,17.11,"군위",48.7
"정상",299.7,13.2,13.3,6.88,"대곡",36.16
"정상",299.7,13.2,13.3,5.25,"대암",13.14
"정상",299.7,13.2,13.3,5.51,"사연",30.34
"정상",299.7,13.2,13.3,1.45,"선암",2.02
"정상",188.4,13.2,11.9,54.64,"횡성",86.9
"정상",326.7,13.1,12.8,153.39,"남강",309.2
"정상",309.8,13.2,11.5,19.25,"부안",50.3
"정상",278.9,13.2,11.5,231.36,"섬진강",466
"정상",269.1,13.2,10.6,40.86,"보령",116.9
"정상",288.9,13.1,12.3,47.7,"장흥",191
"정상",484.6,13.1,14.1,8.32,"구천",10.02
"정상",484.6,13.1,14.1,4.11,"연초",5.22
"정상",269.9,13.2,12.8,0.42,"영주",181.1
"정상",258,13.2,14,265.88,"합천",790
"정상",274.6,13.1,14,3.82,"평림",10.26
"정상",245,13.1,13.8,25.87,"밀양",73.6
"정상",627.4,14.2,30.3,50.68,"밀양",73.6
"정상",715.5,14.3,30,375.96,"합천",790
"정상",788.8,14.4,28.2,51.48,"횡성",86.9
"심한습윤",807.3,14.3,29.8,29.35,"김천부항",54.3
"정상",596.3,14.3,30.8,11.42,"보현산",22.11
"정상",596.3,14.3,30.8,70.71,"영천",103.21
"정상",658.6,14.2,30.8,6.16,"평림",10.26
"정상",625.6,14.3,31.5,31.34,"군위",48.7
"정상",669.8,14.3,30.1,910.3,"대청",1490
"보통습윤",1511.6,14.2,29.9,9.18,"구천",10.02
"보통습윤",1511.6,14.2,29.9,4.33,"연초",5.22
"정상",788.8,14.4,28.8,51.3,"횡성",86.9
"정상",875.3,14.2,29.1,115.74,"남강",309.2
"심한습윤",807.3,14.3,30.4,29.3,"김천부항",54.3
"정상",661.5,14.2,28.5,58.18,"장흥",191
"정상",596.3,14.3,30.8,11.39,"보현산",22.11
"정상",596.3,14.3,30.8,70.44,"영천",103.21
"정상",733.6,14.4,28.8,1647.15,"소양강",2900
"정상",658.6,14.2,30.5,6.14,"평림",10.26
"정상",625.6,14.3,31.1,31.27,"군위",48.7
"정상",731.3,14.2,29.1,30.95,"부안",50.3
"정상",715.5,14.2,29.8,375.48,"합천",790
"정상",719.9,14.2,27.1,489.17,"용담",815
"정상",693.2,14.3,28.5,73.91,"보령",116.9
"정상",705.5,14.2,28.8,9.84,"대곡",36.16
"정상",705.5,14.2,28.8,4.82,"대암",13.14
"정상",705.5,14.2,28.8,8.96,"사연",30.34
"정상",705.5,14.2,28.8,1.44,"선암",2.02
"정상",612,14.3,29.6,1386.9,"충주",2750
"보통습윤",1511.6,14.2,30.7,9.16,"구천",10.02
"보통습윤",1511.6,14.2,30.7,4.31,"연초",5.22
"정상",669.8,14.3,31.3,908.09,"대청",1490
"정상",676.1,14.2,28.8,233.72,"섬진강",466
"정상",627.4,14.2,30.4,50.46,"밀양",73.6
"정상",779.5,14.3,29.1,0.3,"영주",181.1
"정상",561.2,14.3,31,696.82,"안동",1248
"정상",561.2,14.3,31,374.03,"임하",595
"정상",733.6,14.4,29.1,1645.3,"소양강",2900
"정상",719.9,14.2,26.5,488.39,"용담",815
"정상",669.8,14.3,31.4,905.88,"대청",1490
"정상",625.6,14.2,31.1,31.19,"군위",48.7
"정상",658.6,14.2,29.5,6.1,"평림",10.26
"정상",705.5,14.2,29.7,9.85,"대곡",36.16
"정상",705.5,14.2,29.7,4.92,"대암",13.14
"정상",705.5,14.2,29.7,8.78,"사연",30.34
"정상",705.5,14.2,29.7,1.46,"선암",2.02
"정상",676.1,14.2,28.2,230.18,"섬진강",466
"심한습윤",807.3,14.2,30.1,29.25,"김천부항",54.3
"정상",596.3,14.2,30.6,11.35,"보현산",22.11
"정상",596.3,14.2,30.6,70.44,"영천",103.21
"정상",627.4,14.2,29.4,50.22,"밀양",73.6
"보통습윤",1511.6,14.1,29.3,9.13,"구천",10.02
"보통습윤",1511.6,14.1,29.3,4.29,"연초",5.22
"정상",715.5,14.2,29.1,375,"합천",790
"정상",561.2,14.3,30.9,696.82,"안동",1248
"정상",561.2,14.3,30.9,370.63,"임하",595
"정상",334.7,13.9,17.8,30.04,"밀양",73.6
"정상",425.7,13.9,16.5,149.44,"남강",309.2
"보통습윤",342.6,14,15.5,590.35,"안동",1248
"보통습윤",342.6,14,15.5,344.78,"임하",595
"보통습윤",337.5,14.1,14.6,1123.39,"충주",2750
"보통습윤",315.7,14,17.7,17.57,"군위",48.7
"보통습윤",345.7,14,15.7,1034.62,"대청",1490
"정상",394.8,13.9,18.2,4.49,"평림",10.26
"보통습윤",316.2,14.1,13.2,54.68,"횡성",86.9
"보통습윤",418.8,14,17.5,21.57,"부안",50.3
"정상",397.9,14,15.5,245.24,"섬진강",466
"정상",468.4,14,15.8,401.55,"용담",815
"보통습윤",783.9,13.9,18.5,9.36,"구천",10.02
"보통습윤",783.9,13.9,18.5,4.44,"연초",5.22
"보통습윤",384.7,14,16.6,302.47,"합천",790
"보통습윤",323.4,14,17.4,5.13,"보현산",22.11
"보통습윤",323.4,14,17.4,56.18,"영천",103.21
"보통습윤",384.5,14,16.2,47.8,"보령",116.9
"심한습윤",440.9,14.1,13.3,0.36,"영주",181.1
"심한습윤",362.7,14,17,24.59,"김천부항",54.3
"정상",432.8,13.9,17,145.79,"남강",309.2
"정상",405.8,14,17.9,6.47,"대곡",36.16
"정상",405.8,14,17.9,4.93,"대암",13.14
"정상",405.8,14,17.9,6.63,"사연",30.34
"정상",405.8,14,17.9,1.48,"선암",2.02
"정상",400.7,13.9,17.9,55.23,"장흥",191
"정상",340.5,14,17.3,30.15,"밀양",73.6
"보통습윤",317,14.1,13.3,1570.28,"소양강",2900
"정상",318,14.2,17.6,1574.31,"소양강",2900
"보통습윤",348.3,14.1,18.6,590.68,"안동",1248
"보통습윤",348.3,14.1,18.6,345.16,"임하",595
"보통습윤",320.7,14,20.6,17.62,"군위",48.7
"정상",440.7,14,19.6,143.73,"남강",309.2
"정상",403.6,13.9,18.3,55.56,"장흥",191
"정상",351,14,20.3,30.25,"밀양",73.6
"보통습윤",328.9,14,19.8,5.17,"보현산",22.11
"보통습윤",328.9,14,19.8,56.18,"영천",103.21
"보통습윤",832.4,13.9,19.7,9.37,"구천",10.02
"보통습윤",832.4,13.9,19.7,4.45,"연초",5.22
"보통습윤",386.7,14,20.2,303.71,"합천",790
"정상",316.5,14.1,17.2,54.96,"횡성",86.9
"정상",475.4,14,17,404.07,"용담",815
"정상",402.4,14,16.3,245.75,"섬진강",466
"정상",398.9,14,18.5,4.54,"평림",10.26
"보통습윤",386.3,14,13.7,49.18,"보령",116.9
"정상",409,14,20.1,6.42,"대곡",36.16
"정상",409,14,20.1,4.86,"대암",13.14
"정상",409,14,20.1,6.64,"사연",30.34
"정상",409,14,20.1,1.47,"선암",2.02
"정상",346.7,14.1,17.4,1030.45,"대청",1490
"보통습윤",340,14.1,16.8,1101.09,"충주",2750
"심한습윤",365.7,14,19.4,24.66,"김천부항",54.3
"심한습윤",446.4,14.1,17.6,0.38,"영주",181.1
"보통습윤",419.8,14,13.9,21.98,"부안",50.3
"정상",428.6,14.4,18.9,52.46,"장흥",191
"보통습윤",390.2,14.6,17,17,"군위",48.7
"보통습윤",432.4,14.7,19.7,936.55,"충주",2750
"정상",409.7,14.6,20.9,50.35,"보령",116.9
"정상",371.2,14.6,20.6,921.42,"대청",1490
"정상",410.4,14.5,18.1,30.57,"밀양",73.6
"심한습윤",499,14.7,19.4,63.72,"횡성",86.9
"보통습윤",387.9,14.6,19.1,565.18,"안동",1248
"보통습윤",387.9,14.6,19.1,316.39,"임하",595
"정상",371.2,14.6,22,914.74,"대청",1490
"심한습윤",499,14.7,21.3,62.93,"횡성",86.9
"정상",529.4,14.5,18.5,117.15,"남강",309.2
"정상",506.4,14.5,18.6,397.9,"용담",815
"정상",417.3,14.5,19.4,180.06,"섬진강",466
"정상",408.4,14.6,19.4,50.09,"보령",116.9
"보통습윤",492,14.7,19,0.27,"영주",181.1
"심한습윤",433,14.6,20.1,23.27,"김천부항",54.3
"정상",428.6,14.5,21.4,52.19,"장흥",191
"정상",410.4,14.5,18.7,30.49,"밀양",73.6
"정상",442.1,14.5,19.1,302.05,"합천",790
"보통습윤",432.5,14.7,20.4,928.6,"충주",2750
"보통습윤",390.2,14.6,19.1,16.94,"군위",48.7
"정상",435.7,14.5,20,20.94,"부안",50.3
"정상",490.7,14.5,17.1,4.09,"대곡",36.16
"정상",490.7,14.5,17.1,5.24,"대암",13.14
"정상",490.7,14.5,17.1,6.09,"사연",30.34
"정상",490.7,14.5,17.1,1.48,"선암",2.02
"정상",421.8,14.5,21.4,4.3,"평림",10.26
"보통습윤",382.6,14.6,18.5,4.91,"보현산",22.11
"보통습윤",382.6,14.6,18.5,48.19,"영천",103.21
"심한습윤",1016.8,14.5,18.5,9.33,"구천",10.02
"심한습윤",1016.8,14.5,18.5,4.44,"연초",5.22
"보통습윤",434.6,14.8,21.5,1565.82,"소양강",2900
"보통습윤",432.5,14.7,21.5,921.19,"충주",2750
"보통습윤",387.9,14.6,19.5,562.74,"안동",1248
"보통습윤",387.9,14.6,19.5,314.07,"임하",595
"정상",421.8,14.5,22.6,4.27,"평림",10.26
"정상",490.7,14.5,18.5,4.01,"대곡",36.16
"정상",490.7,14.5,18.5,5.28,"대암",13.14
"정상",490.7,14.5,18.5,6.06,"사연",30.34
"정상",490.7,14.5,18.5,1.49,"선암",2.02
"정상",529.4,14.5,20.1,116.68,"남강",309.2
"정상",435.2,14.6,21.6,20.85,"부안",50.3
"심한습윤",433,14.6,21.6,23.21,"김천부항",54.3
"정상",428.6,14.5,20.8,51.93,"장흥",191
"정상",382.6,14.6,19.8,4.89,"보현산",22.11
"정상",382.6,14.6,19.8,47.76,"영천",103.21
"정상",410.4,14.5,21.1,30.41,"밀양",73.6
"심한습윤",1016.8,14.5,20.1,9.34,"구천",10.02
"심한습윤",1016.8,14.5,20.1,4.45,"연초",5.22
"정상",371.2,14.6,23.1,908.64,"대청",1490
"보통습윤",390.2,14.6,20.3,16.88,"군위",48.7
"보통습윤",492,14.7,19.6,0.27,"영주",181.1
"심한습윤",499,14.8,20.9,62.14,"횡성",86.9
"보통습윤",434.6,14.8,21.7,1549.4,"소양강",2900
"정상",408.4,14.6,20.5,49.87,"보령",116.9
"정상",372,14.7,21.5,869.85,"대청",1490
"정상",448.6,14.6,21.8,298.76,"합천",790
"보통습윤",433.9,14.6,21.8,22.74,"김천부항",54.3
"보통습윤",434.1,14.8,24.4,1441.86,"소양강",2900
"심한습윤",501.6,14.8,23.4,56.99,"횡성",86.9
"정상",537.8,14.5,23.2,99.89,"남강",309.2
"정상",435.7,14.6,21.1,20.25,"부안",50.3
"보통습윤",433.6,14.6,24,22.66,"김천부항",54.3
"정상",384.1,14.6,24,4.76,"보현산",22.11
"정상",384.1,14.6,24,44.86,"영천",103.21
"정상",415,14.6,23.9,29.75,"밀양",73.6
"정상",448.6,14.6,23.4,298.21,"합천",790
"정상",431.7,14.7,23.2,882.79,"충주",2750
"정상",372,14.7,23.4,864.46,"대청",1490
"정상",507.9,14.6,20.7,391.57,"용담",815
"정상",417.9,14.6,21.4,156.88,"섬진강",466
"정상",440.2,14.5,22.7,49.66,"장흥",191
"정상",495.3,14.6,22.3,3.41,"대곡",36.16
"정상",495.3,14.6,22.3,5.27,"대암",13.14
"정상",495.3,14.6,22.3,5.75,"사연",30.34
"정상",495.3,14.6,22.3,1.46,"선암",2.02
"정상",391.7,14.6,24.7,16.44,"군위",48.7
"정상",434.8,14.5,22.9,4.11,"평림",10.26
"정상",410,14.6,20.7,47.84,"보령",116.9
"보통습윤",1025.5,14.5,23.4,9.2,"구천",10.02
"보통습윤",1025.5,14.5,23.4,4.42,"연초",5.22
"정상",491.7,14.7,22.4,0.27,"영주",181.1
"정상",387.9,14.7,23.7,546.09,"안동",1248
"정상",387.9,14.7,23.7,298.8,"임하",595
"정상",507.9,14.6,20.2,390.67,"용담",815
"정상",431.4,14.7,22.9,876.58,"충주",2750
"정상",387.9,14.7,24.1,543.4,"안동",1248
"정상",387.9,14.7,24.1,296.56,"임하",595
"정상",371.2,14.7,24.1,857.49,"대청",1490
"정상",434,14.5,24.1,4.09,"평림",10.26
"정상",495.3,14.6,24.2,3.32,"대곡",36.16
"정상",495.3,14.6,24.2,5.25,"대암",13.14
"정상",495.3,14.6,24.2,5.7,"사연",30.34
"정상",495.3,14.6,24.2,1.44,"선암",2.02
"보통습윤",501.6,14.8,23.6,56.61,"횡성",86.9
"정상",417.4,14.6,21.4,154.03,"섬진강",466
"정상",403.8,14.7,21,47.58,"보령",116.9
"정상",491.7,14.7,22.8,0.27,"영주",181.1
"정상",440,14.5,23.2,49.35,"장흥",191
"정상",384.1,14.6,24.2,4.74,"보현산",22.11
"정상",384.1,14.6,24.2,44.44,"영천",103.21
"정상",448.6,14.6,24.1,297.53,"합천",790
"정상",391.7,14.6,25.4,16.38,"군위",48.7
"정상",415,14.6,24.9,29.65,"밀양",73.6
