"가뭄","누적강수량","가조시간","평균기온","저수량","댐"
"정상",287.5,14.8,27.6,1607.69,"소양강"
"정상",287.5,14.8,27.1,1604.96,"소양강"
"정상",331.4,14.8,21.8,1604.51,"소양강"
"정상",337.9,14.8,21.5,1604.06,"소양강"
"정상",338,14.8,22.6,1603.15,"소양강"
"정상",338,14.8,24,1602.24,"소양강"
"정상",338,14.8,24.2,1600.88,"소양강"
"정상",339,14.8,23.6,1599.52,"소양강"
"정상",356.5,14.8,21,1621.37,"소양강"
"정상",357.6,14.8,20.7,1644.37,"소양강"
"정상",357.6,14.7,23.9,1652.25,"소양강"
"정상",357.6,14.7,25.8,1633.78,"소양강"
"정상",357.6,14.7,24.6,1634.72,"소양강"
"정상",357.6,14.7,24,1656.89,"소양강"
"정상",357.6,14.7,25.5,1655.96,"소양강"
"정상",356,14.7,24.9,1655.03,"소양강"
"약한가뭄",297.8,14.7,25.5,1654.1,"소양강"
"약한가뭄",278.8,14.7,26.5,1652.71,"소양강"
"약한가뭄",279.6,14.6,23.4,1651.78,"소양강"
"약한가뭄",279.6,14.6,23.9,1652.25,"소양강"
"약한가뭄",279.7,14.6,22,1652.25,"소양강"
"약한가뭄",297.2,14.6,20,1655.96,"소양강"
"약한가뭄",328,14.6,20.1,1676.97,"소양강"
"약한가뭄",328,14.5,22,1688.26,"소양강"
"약한가뭄",328,14.5,23.9,1692.51,"소양강"
"약한가뭄",328,14.5,25.4,1694.87,"소양강"
"약한가뭄",328,14.5,26.1,1695.82,"소양강"
"약한가뭄",339.2,14.5,22,1696.29,"소양강"
"약한가뭄",339,14.4,24.4,1696.76,"소양강"
"약한가뭄",339,14.4,25.6,1696.76,"소양강"
"약한가뭄",339,14.4,24.5,1696.29,"소양강"
"약한가뭄",402,14.4,21.8,1693.93,"소양강"
"약한가뭄",414.2,14.3,22.2,1753.31,"소양강"
"약한가뭄",415.3,14.3,24,1855.59,"소양강"
"약한가뭄",415.4,14.3,24.3,1902.16,"소양강"
"정상",574.7,14.7,28.2,1444.41,"소양강"
"정상",575.2,14.7,26.2,1447,"소양강"
"정상",575.2,14.7,27.9,1448.72,"소양강"
"정상",588.6,14.6,28.9,1450.02,"소양강"
"정상",589.9,14.6,25.6,1460.86,"소양강"
"정상",589.6,14.6,25.9,1472.2,"소양강"
"정상",665.5,14.6,24,1484.49,"소양강"
"정상",668.6,14.6,25.3,1520.33,"소양강"
"정상",668.6,14.6,25.4,1539.5,"소양강"
"정상",669.1,14.5,24.4,1553.47,"소양강"
"정상",669.1,14.5,25.2,1563.06,"소양강"
"정상",669.1,14.5,26.1,1569.53,"소양강"
"정상",669.1,14.5,27.4,1573.87,"소양강"
"정상",668.2,14.4,26.9,1578.03,"소양강"
"정상",710.6,14.4,22.7,1591.63,"소양강"
"정상",712,14.4,24.5,1613.07,"소양강"
"정상",727.3,14.4,24.8,1629.52,"소양강"
"정상",735.8,14.3,24.7,1644.49,"소양강"
"정상",735.8,14.3,27.2,1656.92,"소양강"
"정상",735.5,14.3,27.6,1666.01,"소양강"
"정상",735.5,14.3,28.2,1673.5,"소양강"
"정상",735.5,14.2,28.1,1678.63,"소양강"
"정상",739.9,14.2,29.7,1682.31,"소양강"
"정상",739.9,14.2,29.1,1685.41,"소양강"
"정상",759.7,14.1,26.6,1688.93,"소양강"
"정상",779.3,14.1,27.4,1694.79,"소양강"
"정상",825.8,14.1,26.7,1704.96,"소양강"
"정상",849.4,14.1,26.9,1743.34,"소양강"
"정상",849.4,14,28.8,1777.36,"소양강"
"정상",849.5,14,29.1,1794.98,"소양강"
"정상",851.7,14,28.2,1796.47,"소양강"
"정상",877.9,13.9,27.4,1793.02,"소양강"
"정상",988.1,13.9,25.7,1806.14,"소양강"
"정상",1095.4,13.9,24.6,1904.5,"소양강"
"정상",1096.5,13.8,25.3,2158.23,"소양강"
"보통습윤",1122.6,13.8,25.7,2228.54,"소양강"
"보통습윤",1122.6,13.8,26.9,2227.2,"소양강"
"보통습윤",1128.6,13.7,24.5,2202.46,"소양강"
"보통습윤",1150.1,13.7,26.5,2170.59,"소양강"
"보통습윤",1184.5,13.7,27.5,2143.42,"소양강"
"보통습윤",1184.5,13.6,27.4,2117.66,"소양강"
"심한습윤",415.5,14.6,14.9,1566.72,"소양강"
"심한습윤",417,14.6,16.1,1571.31,"소양강"
"심한습윤",423.3,14.6,17.9,1574.99,"소양강"
"심한습윤",427.3,14.6,18.7,1578.68,"소양강"
"심한습윤",429.9,14.6,19.4,1580.06,"소양강"
"심한습윤",429.9,14.6,21.6,1580.52,"소양강"
"심한습윤",449.8,14.7,19.2,1581.44,"소양강"
"심한습윤",450.1,14.7,18.7,1582.37,"소양강"
"심한습윤",450.1,14.7,19.9,1582.83,"소양강"
"심한습윤",450.1,14.7,21.3,1582.37,"소양강"
"심한습윤",450.1,14.7,20.7,1580.52,"소양강"
"심한습윤",450.7,14.7,21.1,1578.22,"소양강"
"심한습윤",450.7,14.7,23.8,1575.45,"소양강"
"심한습윤",451.6,14.8,24.1,1571.31,"소양강"
"심한습윤",465.3,14.8,22.4,1569.47,"소양강"
"심한습윤",465.3,14.8,23.9,1566.26,"소양강"
"심한습윤",465.3,14.8,25.3,1562.14,"소양강"
"심한습윤",460.8,14.8,25,1557.57,"소양강"
"심한습윤",460.9,14.8,22.3,1553.01,"소양강"
"정상",330.1,10.9,-0.9,1528.72,"소양강"
"정상",325.7,11,-0.5,1523.04,"소양강"
"보통가뭄",324.8,11,-0.6,1516.94,"소양강"
"보통가뭄",279,11,-2.5,1510.43,"소양강"
"보통가뭄",246.6,11.1,-0.4,1504.37,"소양강"
"약한가뭄",251.6,11.1,1.9,1497.89,"소양강"
"보통가뭄",226.1,11.2,2.4,1491.87,"소양강"
"보통가뭄",151.5,11.2,1.5,1485.87,"소양강"
"보통가뭄",151.5,11.2,1.3,1479.46,"소양강"
"약한가뭄",151.5,11.3,0.6,1473.49,"소양강"
"정상",174.7,11.3,3,1468.82,"소양강"
"정상",175.4,11.4,1.1,1462.89,"소양강"
"정상",175.4,11.4,-1.5,1458.67,"소양강"
"정상",175.4,11.4,6.5,1454.03,"소양강"
"정상",185.6,11.5,8.5,1451.08,"소양강"
"정상",189.9,11.5,2.9,1447.73,"소양강"
"정상",189.9,11.6,2.4,1443.95,"소양강"
"정상",189.7,11.6,4.6,1440.19,"소양강"
"정상",196.1,11.6,4.9,1436.85,"소양강"
"정상",196.1,11.7,5,1433.1,"소양강"
"정상",196.1,11.7,4.2,1429.36,"소양강"
"정상",195.9,11.8,5.4,1425.21,"소양강"
"정상",176.5,11.8,5.9,1421.48,"소양강"
"정상",176.5,11.8,10.4,1418.18,"소양강"
"정상",176.5,11.9,14.2,1416.94,"소양강"
"정상",181.9,11.9,11.8,1420.66,"소양강"
"정상",181.9,12,3.4,1423.14,"소양강"
"정상",181.9,12,4.6,1423.14,"소양강"
"정상",183.6,12.1,6.8,1421.48,"소양강"
"정상",187,12.1,6.8,1420.24,"소양강"
"정상",175.5,12.1,2.9,1419,"소양강"
"정상",175.5,12.2,2.5,1416.53,"소양강"
"정상",175.5,12.2,6.1,1414.06,"소양강"
"정상",175.5,12.2,6.3,1411.59,"소양강"
"정상",175.5,12.3,8.7,1408.3,"소양강"
"정상",175.5,12.3,9.7,1405.43,"소양강"
"정상",175.5,12.4,10.9,1402.97,"소양강"
"정상",175.3,12.4,12.7,1400.11,"소양강"
"정상",175.3,12.5,14.4,1398.07,"소양강"
"정상",175.3,12.5,15.1,1397.25,"소양강"
"정상",175.3,12.5,14.5,1395.62,"소양강"
"정상",175.3,12.6,13.9,1393.58,"소양강"
"정상",175.3,12.6,15,1390.73,"소양강"
"정상",171.5,12.6,18.6,1387.89,"소양강"
"정상",167.9,12.7,18.3,1385.46,"소양강"
"정상",190.1,12.7,9.8,1386.27,"소양강"
"정상",201.3,12.8,6.3,1390.33,"소양강"
"정상",210,12.8,6.6,1393.58,"소양강"
"정상",207.1,12.9,4.6,1397.66,"소양강"
"정상",213.2,12.9,2.4,1400.52,"소양강"
"정상",213.2,12.9,6.1,1402.15,"소양강"
"정상",222.2,13,13.2,1403.38,"소양강"
"정상",219.2,13,13.8,1407.48,"소양강"
"정상",189.6,13.1,12.5,1411.59,"소양강"
"정상",189.6,13.1,12.8,1414.88,"소양강"
"정상",203.2,13.1,9.2,1418.59,"소양강"
"정상",203.2,13.2,9.9,1423.14,"소양강"
"정상",203.2,13.2,10.7,1426.87,"소양강"
"정상",203.2,13.2,12.4,1429.36,"소양강"
"정상",203.2,13.3,13.2,1431.44,"소양강"
"정상",196.2,13.3,14.7,1433.1,"소양강"
"정상",196.1,13.4,17.9,1433.93,"소양강"
"정상",196.1,13.4,18.4,1434.35,"소양강"
"정상",203,13.4,13.9,1435.18,"소양강"
"정상",263.4,13.5,9,1451.08,"소양강"
"정상",264.8,13.5,10.4,1479.46,"소양강"
"정상",264.8,13.6,12.4,1500.05,"소양강"
"정상",264.8,13.6,15.4,1510.86,"소양강"
"정상",264.8,13.6,15.7,1518.68,"소양강"
"정상",264.8,13.7,16.1,1524.35,"소양강"
"정상",264.8,13.7,15.9,1528.72,"소양강"
"정상",264.8,13.7,18.2,1532.67,"소양강"
"정상",264.8,13.8,19.7,1535.3,"소양강"
"정상",285,13.8,13.4,1538.37,"소양강"
"정상",281.3,13.8,9.2,1541.9,"소양강"
"정상",279,13.9,13.7,1545.42,"소양강"
"보통습윤",1527.5,11.1,7.3,2136.73,"소양강"
"보통습윤",1527.5,11.1,7.1,2133.02,"소양강"
"보통습윤",1527.5,11.1,9.5,2129.27,"소양강"
"보통습윤",1527.5,11,11.6,2125.54,"소양강"
"보통습윤",1527.5,11,13.4,2123.06,"소양강"
"보통습윤",1527.5,11,11.7,2121.06,"소양강"
"보통습윤",1527.5,10.9,8.5,2118.51,"소양강"
"보통습윤",1527.5,10.9,8.6,2116.35,"소양강"
"보통습윤",1527.5,10.8,9.4,2113.62,"소양강"
"보통습윤",1525.9,10.8,11,2111.14,"소양강"
"보통습윤",1525.9,10.8,12.6,2108.3,"소양강"
"보통습윤",1525.9,10.7,12.5,2106.01,"소양강"
"보통습윤",1507.3,10.7,12.4,2103.25,"소양강"
"보통습윤",1507.3,10.7,12.3,2100.63,"소양강"
"보통습윤",1507.3,10.6,11,2097.87,"소양강"
"보통습윤",1507.3,10.6,8.9,2094.98,"소양강"
"보통습윤",1507.3,10.6,7.4,2091.67,"소양강"
"보통습윤",1507.3,10.5,3.6,2088.76,"소양강"
"보통습윤",1507.3,10.5,3.1,2085.49,"소양강"
"보통습윤",1507.3,10.5,6.2,2082.21,"소양강"
"보통습윤",1507.9,10.4,8.5,2078.98,"소양강"
