"ID","가뭄","누적강수량","계절","가조시간","평균기온","행정구역","저수량"
95,"정상",597.7,"겨울",10.2,0.3,"전라북도",33.38
96,"심한습윤",728.5,"봄",11.2,4.4,"충청북도",1752.67
97,"심한습윤",660.7,"봄",11.2,6.6,"충청북도",1058.68
98,"심한습윤",723.9,"봄",11.3,6.3,"경상남도",540.67
99,"심한습윤",548,"봄",11.2,8.2,"경상북도",34.33
100,"심한습윤",664.5,"봄",11.3,4.2,"경상북도",0.08
101,"정상",645.8,"봄",11.3,7.5,"경상남도",51.72
102,"정상",325.3,"봄",12.6,3,"전라북도",610.7
103,"정상",270.4,"봄",12.6,6.1,"충청남도",61.82
104,"정상",247.3,"봄",12.6,6.8,"경상북도",30.24
105,"보통습윤",301.7,"봄",12.6,4,"경상북도",0.07
106,"보통습윤",524.9,"봄",12.6,8.9,"경상남도",4.98
107,"보통습윤",301.7,"봄",12.6,5.6,"경상북도",0.07
108,"정상",336.9,"봄",12.6,7.8,"울산광역시",6.455
109,"정상",696.1,"겨울",10.2,-0.6,"충청북도",1083.69
110,"정상",586.8,"봄",11.3,6.5,"전라남도",91.96
111,"보통습윤",571.7,"봄",11.3,8.1,"대구광역시",25.03
112,"심한습윤",643.1,"봄",11.3,5.6,"충청북도",1057.47
113,"정상",542.9,"봄",11.4,8,"전라남도",91.89
114,"정상",414.2,"봄",11.3,8.8,"경상북도",31.475
115,"심한습윤",642,"봄",11.3,6.1,"경상북도",0.08
116,"정상",453.7,"봄",11.3,4.5,"충청북도",1722.33
117,"정상",347.7,"봄",11.3,6.8,"경상북도",604.565
118,"보통습윤",570.8,"봄",11.4,8.5,"경상남도",171.86
119,"정상",534.9,"봄",11.4,4.2,"전라북도",625.76
120,"정상",336.9,"봄",12.6,9,"울산광역시",6.59
121,"정상",317.8,"봄",12.6,3.1,"전라북도",609.51
122,"정상",247,"봄",12.7,8.6,"경상북도",30
123,"심한습윤",366.1,"봄",12.6,8.3,"경상남도",533.72
124,"정상",668.5,"겨울",10.2,1,"강원도",1845.95
125,"정상",597.9,"겨울",10.3,3.2,"전라북도",33.12
126,"보통습윤",802.1,"겨울",10.2,1.2,"경상북도",0.29
127,"정상",505.4,"겨울",10.3,2.1,"경상북도",626.39
128,"보통습윤",728.3,"겨울",10.2,0.2,"충청북도",1952.31
129,"정상",587.5,"겨울",10.3,3.6,"경상북도",37.59
130,"정상",749.9,"겨울",10.3,4.1,"경상남도",562.63
131,"정상",680.9,"겨울",10.4,0.3,"경상남도",54.2
132,"정상",463,"봄",11.4,6.8,"전라남도",91.67
133,"정상",278.6,"봄",11.3,4.4,"강원도",67.11
134,"보통습윤",350.8,"봄",11.4,8.4,"대구광역시",24.99
135,"정상",350.8,"봄",11.4,8,"대구광역시",24.98
136,"보통습윤",513.6,"봄",11.5,7.6,"경상남도",171.03
137,"정상",328.5,"봄",11.4,6.7,"경상북도",31.2
