"연도","시도","시군구","농업용","생활용","산업용","유역","지점"
2020,"경기도","성남시",1525330,3924627,8608,"한강","서울"
2020,"경기도","의왕시",1319025,1467993,94839,"한강","서울"
2020,"경기도","파주시",7208404,23862119,2450971,"한강","파주"
2020,"경상남도","사천시",4173034,4762284,1076939,"낙동강","남해"
2020,"경상남도","양산시",3064976,6971003,1599236,"낙동강","양산시"
2020,"경상남도","창원시",7172175,19121104,1840776,"낙동강","창원"
2020,"경상북도","경주시",3424623,8693314,1753197,"낙동강","경주시"
2020,"경상북도","문경시",5341332,7895289,441352,"낙동강","문경"
2020,"경상북도","예천군",4703375,4808463,337498,"낙동강","영주"
2020,"경상북도","의성군",8845062,8746998,1424029,"낙동강","의성"
2020,"경상북도","청도군",6842983,3050484,1029119,"낙동강","경주"
2020,"전라남도","신안군",1191997,896632,27690,"영섬","영광군"
2020,"전라북도","김제시",15169024,7092592,1956402,"금강","부안"
2020,"전라북도","완주군",13896678,10817650,1097685,"금강","전주"
2020,"충청남도","보령시",19741824,8120253,611170,"금강","보령"
2020,"충청남도","천안시",16934543,10355976,3945886,"금강","천안"
2020,"충청남도","청양군",5654531,5118623,353752,"금강","부여"
2021,"강원도","삼척시",4703459,16356280,1029452,"한강","동해"
2021,"강원도","영월군",2030211,7478761,261391,"한강","영월"
2021,"강원도","인제군",993277,1513170,95629,"한강","인제"
2021,"강원도","태백시",287612,455763,25000,"한강","태백"
2021,"강원도","횡성군",11556658,9862259,623242,"한강","홍천"
2021,"경기도","김포시",4908824,9728579,616129,"한강","서울"
2021,"경기도","안성시",17185158,16979882,1393901,"한강","수원"
2021,"경기도","양평군",26642944,19591630,251699,"한강","양평"
2021,"경기도","연천군",3890780,1558069,431501,"한강","동두천"
2021,"경기도","파주시",7482468,23926692,2472874,"한강","파주"
2021,"경상남도","산청군",16174074,5803590,588948,"낙동강","산청"
2021,"경상남도","의령군",14672843,5414170,1255729,"낙동강","의령군"
2021,"경상남도","창녕군",17998408,4356873,1454607,"낙동강","밀양"
2021,"경상남도","하동군",4189589,5540532,189657,"낙동강","진주"
2021,"경상북도","구미시",3214209,3545546,2186420,"낙동강","구미"
