일자,시군구,평년수위,현재수위,평년대비현재수위
2021-09-01,부산,,5.43,
2021-09-01,울산,6.88,6.57,104.7
2021-09-01,경남,5.61,4.71,119.1
2021-01-01,전국,5.06,4.59,110.3
2021-01-01,인천,4.6,3.19,144.27
2021-01-01,경기,5.29,4.73,112.03
2021-01-01,강원,5.24,4.58,114.53
2021-01-01,충북,5.38,4.91,109.67
2021-01-01,세종,,3.87,
2021-01-01,충남,4.57,4.38,104.3
2021-01-01,전북,4.11,4.27,96.3
2021-01-01,전남,4,3.46,115.37
2021-01-01,대구,5.34,4.81,111
2021-01-01,경북,6.72,6.72,100.1
2021-01-01,부산,,5.74,
2021-01-01,울산,6.93,6.61,104.8
2021-01-01,경남,5.7,4.82,118.3
2021-11-01,전국,5.24,4.61,113.67
2021-11-01,인천,5.26,3.28,160.27
2021-11-01,경기,5.33,4.77,111.7
2021-11-01,강원,5.42,4.72,114.77
2021-11-01,충북,5.31,5.1,104.03
2021-11-01,세종,,4,
2021-11-01,충남,4.65,4.33,107.4
2021-11-01,전북,4.11,4.23,97.27
2021-11-01,전남,4.05,3.54,114.43
2021-11-01,대구,5.32,4.86,109.57
2021-11-01,경북,7.3,6.47,112.9
2021-11-01,부산,,5.95,
2021-11-01,울산,7,6.2,114.7
2021-11-01,경남,6.05,4.97,121.8
2021-12-01,전국,5.42,4.74,114.33
2021-12-01,인천,5.13,2.88,178.13
2021-12-01,경기,5.34,4.95,107.8
2021-12-01,강원,5.54,4.78,115.77
2021-12-01,충북,5.42,5.15,105.17
2021-12-01,세종,3.05,4.23,71.77
2021-12-01,충남,4.74,4.48,105.83
2021-12-01,전북,4.32,4.2,102.97
2021-12-01,전남,4.32,3.63,118.97
2021-12-01,대구,5.21,1.31,396.4
2021-12-01,경북,7.32,6.56,111.5
2021-12-01,부산,,6.06,
2021-12-01,울산,7.01,4.99,140.43
2021-12-01,경남,6.66,5.51,120.93
2020-01-01,전국,5.39,4.9,110.03
2020-01-01,인천,4.89,2.4,203.73
2020-01-01,경기,5.37,5.19,103.43
2020-01-01,강원,5.64,4.98,113.4
2020-01-01,충북,5.84,5.36,109.07
2020-01-01,세종,,,
2020-01-01,충남,4.75,4.9,97
2020-01-01,전북,4.46,4.16,107.17
2020-01-01,전남,4.36,3.7,117.6
2020-01-01,대구,5.28,4.88,109.57
2020-01-01,경북,6.58,6.98,94.17
2020-01-01,부산,,,
2020-01-01,울산,6.96,6.76,102.87
2020-01-01,경남,7.06,5.54,127.67
2020-02-01,전국,5.45,4.92,110.77
2020-02-01,인천,5.12,2.39,214.07
2020-02-01,경기,5.41,5.43,99.97
2020-02-01,강원,5.82,5,116.47
2020-02-01,충북,6.02,5.34,112.8
2020-02-01,세종,,,
2020-02-01,충남,4.74,4.85,97.57
2020-02-01,전북,4.55,4.08,111.73
2020-02-01,전남,4.42,3.78,116.97
2020-02-01,대구,6.29,5.09,123.73
2020-02-01,경북,6.52,6.79,95.97
2020-02-01,부산,,,
2020-02-01,울산,6.99,6.76,103.4
2020-02-01,경남,6.98,5.6,124.73
2020-03-01,전국,5.39,4.88,110.6
2020-03-01,인천,5.2,2.35,221.67
2020-03-01,경기,5.26,5.23,100.6
2020-03-01,강원,5.84,4.89,119.37
2020-03-01,충북,5.86,5.47,107
2020-03-01,세종,,,
2020-03-01,충남,4.62,4.81,96.1
2020-03-01,전북,4.4,4.1,107.4
2020-03-01,전남,4.29,3.78,113.6
2020-03-01,대구,5.6,5.12,110
2020-03-01,경북,6.69,6.63,100.73
2020-03-01,부산,,,
2020-03-01,울산,6.98,6.78,103
2020-03-01,경남,6.87,5.6,122.7
2020-04-01,전국,5.3,4.95,107.17
2020-04-01,인천,6.07,3.75,163.33
2020-04-01,경기,5.26,5.33,98.73
2020-04-01,강원,5.79,4.87,118.87
2020-04-01,충북,5.77,5.68,101.57
2020-04-01,세종,,,
2020-04-01,충남,4.62,4.79,96.47
2020-04-01,전북,4.17,4.19,99.6
2020-04-01,전남,4.17,3.84,108.43
2020-04-01,대구,4.69,5.22,90.37
2020-04-01,경북,6.56,6.59,99.63
2020-04-01,부산,,,
2020-04-01,울산,6.95,6.79,102.33
2020-04-01,경남,6.55,5.53,118.27
2020-05-01,전국,5.33,4.86,109.57
2020-05-01,인천,6.91,4.66,148.93
2020-05-01,경기,5.28,5.26,100.37
2020-05-01,강원,5.79,4.84,119.77
